epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,73.7204,1.88836,0.41342,0.90872,1.55334,0.00330065,0.00330065,0.00330065
2,140.133,1.42822,0.40134,0.83624,2.00289,0.00663333,0.00663333,0.00663333
3,206.021,1.43923,0.45369,0.85235,1.73185,0.00996535,0.00996535,0.00996535
4,271.567,1.54999,0.29933,0.8349,2.33126,0.00999703,0.00999703,0.00999703
5,338.241,1.57403,0.29664,0.72886,2.13045,0.00999604,0.00999604,0.00999604
6,405.044,1.47155,0.37584,0.77852,2.05066,0.00999505,0.00999505,0.00999505
7,472.77,1.46073,0.50067,0.95034,1.42155,0.00999406,0.00999406,0.00999406
8,538.858,1.37298,0.44966,0.9047,1.56051,0.00999307,0.00999307,0.00999307
9,605.04,1.34755,0.27651,0.77852,2.50903,0.00999208,0.00999208,0.00999208
10,670.428,1.36723,0.5302,0.93691,1.40129,0.00999109,0.00999109,0.00999109
11,735.975,1.32776,0.6349,0.96644,1.00213,0.0099901,0.0099901,0.0099901
12,801.899,1.2692,0.42819,0.85772,1.68864,0.00998911,0.00998911,0.00998911
13,867.467,1.21239,0.42416,0.88993,2.23519,0.00998812,0.00998812,0.00998812
14,933.515,1.17659,0.45101,0.90201,1.57994,0.00998713,0.00998713,0.00998713
15,1000.08,1.17139,0.64161,0.9745,1.06966,0.00998614,0.00998614,0.00998614
16,1065.89,1.09584,0.57987,0.96107,1.2193,0.00998515,0.00998515,0.00998515
17,1132.89,1.10788,0.63356,0.96107,1.10972,0.00998416,0.00998416,0.00998416
18,1199.98,1.06177,0.62685,0.98523,1.17167,0.00998317,0.00998317,0.00998317
19,1266.63,1.04618,0.53154,0.94094,1.42995,0.00998218,0.00998218,0.00998218
20,1332.76,1.01733,0.50604,0.94765,1.53658,0.00998119,0.00998119,0.00998119
21,1398.84,0.98347,0.60805,0.9651,1.23657,0.0099802,0.0099802,0.0099802
22,1465.31,1.00174,0.59195,0.9651,1.19971,0.00997921,0.00997921,0.00997921
23,1531.69,0.92301,0.61208,0.96376,1.19248,0.00997822,0.00997822,0.00997822
24,1598.88,0.95686,0.63356,0.95705,1.05998,0.00997723,0.00997723,0.00997723
25,1665.32,0.89976,0.6443,0.9651,1.12596,0.00997624,0.00997624,0.00997624
26,1732.72,0.89937,0.55436,0.93691,1.37518,0.00997525,0.00997525,0.00997525
27,1799.86,0.8586,0.69262,0.97718,0.92338,0.00997426,0.00997426,0.00997426
28,1866.27,0.86061,0.63087,0.96644,1.18377,0.00997327,0.00997327,0.00997327
