epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.118,2.07316,3.6789,2.44908,0.13424,0.12998,0.06492,0.01921,2.44679,3.03609,2.78645,0.00329317,0.00329317,0.00329317
2,241.677,1.90827,2.99019,2.20952,0.14101,0.22117,0.10504,0.03156,2.52119,3.19964,2.96818,0.00661995,0.00661995,0.00661995
3,361.944,1.94094,2.85704,2.24555,0.27587,0.07687,0.01078,0.0024,2.95139,6.84912,3.70549,0.00994012,0.00994012,0.00994012
4,478.705,1.99657,3.06907,2.3175,0.04447,0.13876,0.01906,0.00529,2.92476,5.82229,3.52735,0.0099703,0.0099703,0.0099703
5,592.962,1.97688,3.05451,2.29253,0.00588,0.05738,0.00552,0.00132,3.3665,5.77839,3.97266,0.0099604,0.0099604,0.0099604
6,709.788,1.91369,3.00257,2.27662,0.11999,0.22186,0.08669,0.02437,2.35303,3.32126,2.91743,0.0099505,0.0099505,0.0099505
7,826.458,1.90461,2.90827,2.23688,0.18446,0.24794,0.10837,0.03187,2.28755,3.1493,2.8304,0.0099406,0.0099406,0.0099406
8,943.169,1.87418,2.85488,2.23001,0.18056,0.20176,0.103,0.03475,2.22774,3.12746,2.83601,0.0099307,0.0099307,0.0099307
9,1060.72,1.88494,2.85696,2.23716,0.26391,0.19219,0.10995,0.03336,2.35854,3.47403,2.80344,0.0099208,0.0099208,0.0099208
10,1176.95,1.86193,2.77088,2.17676,0.22069,0.3165,0.18075,0.05864,2.18513,2.75335,2.60684,0.0099109,0.0099109,0.0099109
11,1293.91,1.85622,2.73395,2.18295,0.23488,0.35537,0.20214,0.06569,2.16841,2.77268,2.62063,0.009901,0.009901,0.009901
12,1410.44,1.80408,2.65452,2.16159,0.24461,0.43799,0.25378,0.08442,2.11115,2.66982,2.60907,0.0098911,0.0098911,0.0098911
13,1527.05,1.83896,2.67702,2.1676,0.28654,0.42747,0.30283,0.10781,2.08278,2.68959,2.57517,0.0098812,0.0098812,0.0098812
14,1643.14,1.81255,2.57031,2.13531,0.28221,0.46019,0.32747,0.12317,2.06558,2.48228,2.54749,0.0098713,0.0098713,0.0098713
15,1759.26,1.81196,2.61848,2.14348,0.3011,0.37211,0.25666,0.08983,2.04656,2.61876,2.60797,0.0098614,0.0098614,0.0098614
16,1875.45,1.8198,2.56522,2.15662,0.29398,0.42211,0.3034,0.11027,2.02283,2.62467,2.52883,0.0098515,0.0098515,0.0098515
17,1991.33,1.80015,2.5411,2.13244,0.35347,0.39686,0.3106,0.11068,2.04455,2.45831,2.54297,0.0098416,0.0098416,0.0098416
18,2107.35,1.76701,2.48267,2.0944,0.38733,0.44336,0.35971,0.13198,2.09233,2.3877,2.55109,0.0098317,0.0098317,0.0098317
19,2223.73,1.78624,2.4965,2.13365,0.3964,0.46314,0.39518,0.15363,1.99588,2.28512,2.48023,0.0098218,0.0098218,0.0098218
20,2339.42,1.72735,2.46574,2.09154,0.43947,0.43199,0.3874,0.15056,2.01326,2.36695,2.49077,0.0098119,0.0098119,0.0098119
21,2455.23,1.75285,2.42943,2.10316,0.42019,0.48341,0.42189,0.16963,1.92405,2.23001,2.42196,0.009802,0.009802,0.009802
22,2571.19,1.73475,2.37872,2.07265,0.39402,0.46987,0.40515,0.15223,2.02106,2.21694,2.5042,0.0097921,0.0097921,0.0097921
23,2686.94,1.76535,2.38261,2.10109,0.44151,0.51293,0.45182,0.18877,1.90302,2.1195,2.44135,0.0097822,0.0097822,0.0097822
24,2802.73,1.72359,2.37874,2.07535,0.44354,0.49209,0.45238,0.17406,2.02954,2.10627,2.49982,0.0097723,0.0097723,0.0097723
25,2918.43,1.74178,2.33976,2.07068,0.43737,0.47895,0.42142,0.17035,1.95599,2.13009,2.40472,0.0097624,0.0097624,0.0097624
26,3034.49,1.72925,2.35732,2.05845,0.48222,0.53298,0.51203,0.21832,1.87829,2.00442,2.37571,0.0097525,0.0097525,0.0097525
27,3150.32,1.71977,2.28694,2.04775,0.42602,0.52085,0.46647,0.19379,1.91254,2.10178,2.35539,0.0097426,0.0097426,0.0097426
28,3265.84,1.74815,2.29986,2.08006,0.44904,0.48326,0.42944,0.17284,1.96663,2.15686,2.48516,0.0097327,0.0097327,0.0097327
29,3381.77,1.70149,2.20654,2.00823,0.4758,0.52741,0.49648,0.22044,1.856,1.98204,2.34826,0.0097228,0.0097228,0.0097228
30,3497.98,1.72632,2.24436,2.04953,0.51915,0.55654,0.53016,0.23344,1.87886,1.88838,2.32965,0.0097129,0.0097129,0.0097129
31,3613.93,1.67628,2.2223,2.01423,0.48332,0.55088,0.5199,0.22972,1.84654,1.93961,2.31971,0.009703,0.009703,0.009703
32,3729.52,1.70984,2.23383,2.05258,0.53804,0.55103,0.56082,0.24708,1.82866,1.90492,2.31519,0.0096931,0.0096931,0.0096931
33,3845.32,1.70383,2.19451,2.02697,0.51393,0.5335,0.51286,0.22666,1.82822,1.9726,2.37385,0.0096832,0.0096832,0.0096832
34,3961.24,1.68868,2.15154,2.00238,0.46911,0.55761,0.49613,0.21865,1.83733,1.99566,2.30591,0.0096733,0.0096733,0.0096733
35,4077.09,1.6853,2.14867,2.01426,0.53094,0.55157,0.54541,0.24453,1.8089,1.89549,2.31071,0.0096634,0.0096634,0.0096634
36,4192.53,1.68096,2.1608,2.00944,0.52984,0.54528,0.51773,0.23468,1.80882,1.91528,2.27009,0.0096535,0.0096535,0.0096535
37,4308.75,1.65261,2.08135,1.97297,0.55781,0.5732,0.57729,0.26703,1.78613,1.82457,2.25581,0.0096436,0.0096436,0.0096436
38,4424.55,1.63845,2.04749,1.97403,0.51815,0.55369,0.55277,0.25147,1.83152,1.81906,2.25815,0.0096337,0.0096337,0.0096337
39,4540.03,1.63399,2.06182,1.96685,0.56177,0.57293,0.58049,0.26863,1.76871,1.77397,2.23465,0.0096238,0.0096238,0.0096238
40,4655.81,1.65931,2.05673,1.99056,0.54118,0.55969,0.54951,0.25602,1.79172,1.81437,2.26862,0.0096139,0.0096139,0.0096139
41,4771.37,1.64557,2.07408,1.98306,0.5345,0.57687,0.58486,0.28011,1.76618,1.7249,2.24339,0.009604,0.009604,0.009604
42,4887.01,1.65798,2.07568,1.9994,0.577,0.59135,0.60169,0.28552,1.75672,1.75035,2.24995,0.0095941,0.0095941,0.0095941
43,5002.57,1.65567,2.10327,1.98999,0.5482,0.57881,0.57574,0.26622,1.76931,1.75036,2.23881,0.0095842,0.0095842,0.0095842
44,5118.22,1.6353,2.00614,1.96374,0.60624,0.5925,0.62917,0.3061,1.74837,1.66257,2.21381,0.0095743,0.0095743,0.0095743
45,5233.9,1.62088,2.00275,1.95015,0.61024,0.59541,0.63854,0.31759,1.70325,1.63121,2.14932,0.0095644,0.0095644,0.0095644
46,5349.56,1.62632,1.98905,1.96265,0.61533,0.60075,0.62051,0.30511,1.70633,1.64193,2.226,0.0095545,0.0095545,0.0095545
47,5465.69,1.63149,1.95656,1.96602,0.62203,0.61053,0.64906,0.32014,1.72309,1.59908,2.19632,0.0095446,0.0095446,0.0095446
48,5581.35,1.58141,1.92143,1.92009,0.62649,0.63061,0.67317,0.34661,1.65604,1.54687,2.16059,0.0095347,0.0095347,0.0095347
49,5697.05,1.59413,1.92439,1.93537,0.62204,0.6387,0.66461,0.33946,1.65631,1.57474,2.15588,0.0095248,0.0095248,0.0095248
50,5812.75,1.60068,1.92069,1.93493,0.64356,0.62454,0.66809,0.34726,1.6122,1.56132,2.13888,0.0095149,0.0095149,0.0095149
51,5928.95,1.60234,1.91512,1.9427,0.65967,0.64538,0.69156,0.34926,1.6436,1.50614,2.1144,0.009505,0.009505,0.009505
52,6044.43,1.60046,1.91937,1.93985,0.67878,0.63002,0.68922,0.34171,1.65599,1.49928,2.1509,0.0094951,0.0094951,0.0094951
53,6159.89,1.55849,1.85127,1.90822,0.65883,0.64696,0.69717,0.35991,1.65061,1.46112,2.11791,0.0094852,0.0094852,0.0094852
54,6275.97,1.60517,1.87683,1.95637,0.64478,0.6656,0.70864,0.36983,1.60991,1.44778,2.13879,0.0094753,0.0094753,0.0094753
